mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	slur
1	1	0	0	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	0					
1	1	2	2	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	1					
1	1	0	0	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	2					
1	1	2	2	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	3					
1	1	0	0	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	4					
1	1	2	2	0.0	1/2	1/2	FiguredBass	4/4	2	1	0					1/2	6	5	
1	1	2	2	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	5					
1	1	0	0	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	6					
1	1	2	2	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	7					
2	2	4	4	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	8					
