piece	TimeSig	KeySig	last_mc	last_mn	length_qb	last_mc_unfolded	last_mn_unfolded	length_qb_unfolded	volta_mcs	all_notes_qb	n_onsets	n_onset_positions	guitar_chord_count	form_label_count	label_count	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	mscVersion	platform	source	translator	title_text	subtitle_text	composer_text	musescore	ms3_version	subdirectory	rel_path	has_drumset	ambitus	staff_1_instrument	staff_1_ambitus	staff_2_instrument	staff_2_ambitus
A-MCAU_AP1832-021_SID006	1: 4/4	1: 1	23	23	84.0	31	31	112.0		336.0	177	54	0	0	0										2021-01-25	3.02	Microsoft Windows			Aus meines Herzens Grunde	AP1832-021	Georg Christian Apel	3.6.2	2.5.3	1832_VollständigesChoralbuch/Analysis-MusiCAU	1832_VollständigesChoralbuch/Analysis-MusiCAU/A-MCAU_AP1832-021_SID006.mscz	False	43-74 (G2-D5)	Piano	62-74 (D4-D5)	Piano	43-64 (G2-E4)
A-MCAU_AP1832-022_SID007	1: 4/4	1: 1	22	22	80.0	31	31	112.0		320.0	172	55	0	0	0										2021-01-25	3.02	Microsoft Windows			Aus tiefer Noth schrey ich zu dir	AP1832-022 rev.	Georg Christian Apel	3.6.2	2.5.3	1832_VollständigesChoralbuch/Analysis-MusiCAU	1832_VollständigesChoralbuch/Analysis-MusiCAU/A-MCAU_AP1832-022_SID007.mscz	False	43-74 (G2-D5)	Piano	59-74 (B3-D5)	Piano	43-64 (G2-E4)
A-MCAU_AP1832-023a_SID008	1: 4/4	1: 0	24	24	88.0	32	32	116.0		352.0	169	55	0	0	0										2021-01-25	3.02	Microsoft Windows			Befiehl du deine Wege	AP1832-023a rev.	Georg Christian Apel	3.6.2	2.5.3	1832_VollständigesChoralbuch/Analysis-MusiCAU	1832_VollständigesChoralbuch/Analysis-MusiCAU/A-MCAU_AP1832-023a_SID008.mscz	False	43-74 (G2-D5)	Piano	57-74 (A3-D5)	Piano	43-64 (G2-E4)
A-MCAU_AP1832-024_SID056	1: 4/4	1: 1	17	17	64.0	17	17	64.0		256.0	136	41	0	0	0										2021-01-25	3.02	Microsoft Windows			Begrabt den Leib in seine Gruft	AP1832-024 rev.	Georg Christian Apel	3.6.2	2.5.3	1832_VollständigesChoralbuch/Analysis-MusiCAU	1832_VollständigesChoralbuch/Analysis-MusiCAU/A-MCAU_AP1832-024_SID056.mscz	False	43-72 (G2-C5)	Piano	59-72 (B3-C5)	Piano	43-59 (G2-B3)
A-MCAU_AP1832-027_SID009	1: 4/4	1: 0	19	19	72.0	19	19	72.0		288.0	149	46	0	0	0										2021-01-25	3.02	Microsoft Windows			Christ fuhr gen Himmel	AP1832-027 rev.	Georg Christian Apel	3.6.2	2.5.3	1832_VollständigesChoralbuch/Analysis-MusiCAU	1832_VollständigesChoralbuch/Analysis-MusiCAU/A-MCAU_AP1832-027_SID009.mscz	False	43-72 (G2-C5)	Piano	59-72 (B3-C5)	Piano	43-62 (G2-D4)
A-MCAU_AP1832-028_SID010	1: 4/4	1: 0	20	20	78.0	20	20	78.0		312.0	144	44	0	0	0										2021-01-25	3.02	Microsoft Windows			Christ ist erstanden	AP1832-028 rev.	Georg Christian Apel	3.6.2	2.5.3	1832_VollständigesChoralbuch/Analysis-MusiCAU	1832_VollständigesChoralbuch/Analysis-MusiCAU/A-MCAU_AP1832-028_SID010.mscz	False	43-72 (G2-C5)	Piano	57-72 (A3-C5)	Piano	43-62 (G2-D4)
A-MCAU_AP1832-029_SID012	1: 4/4	1: 0	31	31	116.0	40	40	148.0		464.0	247	82	0	0	0										2021-01-25	3.02	Microsoft Windows			Christ unser Herr zum Jordan kam	AP1832-029 rev.	Georg Christian Apel	3.6.2	2.5.3	1832_VollständigesChoralbuch/Analysis-MusiCAU	1832_VollständigesChoralbuch/Analysis-MusiCAU/A-MCAU_AP1832-029_SID012.mscz	False	43-76 (G2-E5)	Piano	57-76 (A3-E5)	Piano	43-64 (G2-E4)
A-MCAU_AP1832-030a_SID014	1: 4/4	1: -2	33	33	132.0	33	33	132.0		528.0	241	75	0	0	0										2021-01-25	3.02	Microsoft Windows			Christus der uns selig macht	AP1832-030a rev.	Georg Christian Apel	3.6.2	2.5.3	1832_VollständigesChoralbuch/Analysis-MusiCAU	1832_VollständigesChoralbuch/Analysis-MusiCAU/A-MCAU_AP1832-030a_SID014.mscz	False	43-74 (G2-D5)	Piano	57-74 (A3-D5)	Piano	43-62 (G2-D4)
A-MCAU_AP1832-031_SID066	1: 4/4	1: 1	28	28	112.0	28	28	112.0		448.0	211	62	0	0	0										2021-01-25	3.02	Microsoft Windows			Dank, dem milden Vater, Dank	AP1832-031 rev.	Georg Christian Apel	3.6.2	2.5.3	1832_VollständigesChoralbuch/Analysis-MusiCAU	1832_VollständigesChoralbuch/Analysis-MusiCAU/A-MCAU_AP1832-031_SID066.mscz	False	43-74 (G2-D5)	Piano	58-74 (A#3-D5)	Piano	43-64 (G2-E4)
A-MCAU_AP1832-033_SID011	1: 4/4	1: 0	24	24	88.0	33	33	120.0		344.0	189	58	0	0	0										2021-01-25	3.02	Microsoft Windows			Der Herr, der uns bei Gott vertrat	AP1832-033 rev. 	Georg Christian Apel	3.6.2	2.5.3	1832_VollständigesChoralbuch/Analysis-MusiCAU	1832_VollständigesChoralbuch/Analysis-MusiCAU/A-MCAU_AP1832-033_SID011.mscz	False	43-76 (G2-E5)	Piano	57-76 (A3-E5)	Piano	43-64 (G2-E4)
